MUNICIPIO;REGIAO
BOA VISTA DO CADEADO;NORDESTE
BOA VISTA DO INCRA;NORDESTE
BOM PROGRESSO;NORDESTE
BOSSOROCA;NORDESTE
BRAGA;NORDESTE
CACIQUE DOBLE;NORDESTE
CAIBATÉ;NORDESTE
CAIÇARA;NORDESTE
CAMARGO;NORDESTE
CAMPOS BORGES;NORDESTE
CATUÍPE;NORDESTE
CENTENÁRIO;NORDESTE
CERRO GRANDE;NORDESTE
CERRO LARGO;NORDESTE
CHARRUA;NORDESTE
CIRÍACO;NORDESTE
CONDOR;NORDESTE
COQUEIROS DO SUL;NORDESTE
CORONEL BARROS;NORDESTE
CRISTAL DO SUL;NORDESTE
DAVID CANABARRO;NORDESTE
DOIS IRMÃOS DAS MISSÕES;NORDESTE
DOUTOR MAURÍCIO CARDOSO;NORDESTE
ENTRE-IJUÍS;NORDESTE
EREBANGO;NORDESTE
ERVAL SECO;NORDESTE
ESPERANÇA DO SUL;NORDESTE
ESTAÇÃO;NORDESTE
EUGÊNIO DE CASTRO;NORDESTE
FAXINALZINHO;NORDESTE
BOA VISTA DAS MISSÕES;NORDESTE
CARLOS GOMES;NORDESTE
ERECHIM;NORDESTE
PORTO VERA CRUZ;NORDESTE
DERRUBADAS;NORDESTE
ERVAL GRANDE;NORDESTE
FLORIANO PEIXOTO;NORDESTE
FONTOURA XAVIER;NORDESTE
FORTALEZA DOS VALOS;NORDESTE
FREDERICO WESTPHALEN;NORDESTE
GENTIL;NORDESTE
SANTA CECÍLIA DO SUL;NORDESTE
GETÚLIO VARGAS;NORDESTE
GIRUÁ;NORDESTE
GRAMADO DOS LOUREIROS;NORDESTE
GUARANI DAS MISSÕES;NORDESTE
HUMAITÁ;NORDESTE
IBIRAIARAS;NORDESTE
IBIRAPUITÃ;NORDESTE
IJUÍ;NORDESTE
INDEPENDÊNCIA;NORDESTE
INHACORÁ;NORDESTE
IPIRANGA DO SUL;NORDESTE
ITATIBA DO SUL;NORDESTE
JACUIZINHO;NORDESTE
JACUTINGA;NORDESTE
LIBERATO SALZANO;NORDESTE
MACHADINHO;NORDESTE
MARCELINO RAMOS;NORDESTE
MARIANO MORO;NORDESTE
MATO CASTELHANO;NORDESTE
MATO QUEIMADO;NORDESTE
MAXIMILIANO DE ALMEIDA;NORDESTE
MIRAGUAÍ;NORDESTE
MORMAÇO;NORDESTE
MULITERNO;NORDESTE
NÃO-ME-TOQUE;NORDESTE
NOVA BOA VISTA;NORDESTE
NOVA RAMADA;NORDESTE
NOVO XINGU;NORDESTE
NOVO BARREIRO;NORDESTE
NOVO MACHADO;NORDESTE
NOVO TIRADENTES;NORDESTE
PAIM FILHO;NORDESTE
PAULO BENTO;NORDESTE
PINHEIRINHO DO VALE;NORDESTE
PIRAPÓ;NORDESTE
PORTO LUCENA;NORDESTE
PONTÃO;NORDESTE
PONTE PRETA;NORDESTE
PORTO MAUÁ;NORDESTE
RIO DOS ÍNDIOS;NORDESTE
RODEIO BONITO;NORDESTE
RONDA ALTA;NORDESTE
RONDINHA;NORDESTE
SAGRADA FAMÍLIA;NORDESTE
SALDANHA MARINHO;NORDESTE
SALTO DO JACUÍ;NORDESTE
SANTO ANTÔNIO DO PALMA;NORDESTE
SANTO AUGUSTO;NORDESTE
SANTO EXPEDITO DO SUL;NORDESTE
SÃO JOÃO DA URTIGA;NORDESTE
SÃO JOSÉ DAS MISSÕES;NORDESTE
SÃO JOSÉ DO HERVAL;NORDESTE
SÃO JOSÉ DO INHACORÁ;NORDESTE
SÃO PAULO DAS MISSÕES;NORDESTE
SÃO PEDRO DAS MISSÕES;NORDESTE
SÃO PEDRO DO BUTIÁ;NORDESTE
SÃO VALENTIM;NORDESTE
SÃO VALÉRIO DO SUL;NORDESTE
SEDE NOVA;NORDESTE
SENADOR SALGADO FILHO;NORDESTE
SERTÃO;NORDESTE
SETE DE SETEMBRO;NORDESTE
TAPEJARA;NORDESTE
TAQUARUÇU DO SUL;NORDESTE
TIO HUGO;NORDESTE
TIRADENTES DO SUL;NORDESTE
TRÊS ARROIOS;NORDESTE
TRÊS PALMEIRAS;NORDESTE
TRINDADE DO SUL;NORDESTE
TUCUNDUVA;NORDESTE
TUNAS;NORDESTE
TUPANCI DO SUL;NORDESTE
TUPARENDI;NORDESTE
UBIRETAMA;NORDESTE
VANINI;NORDESTE
VIADUTOS;NORDESTE
VICENTE DUTRA;NORDESTE
VILA LÂNGARO;NORDESTE
VISTA GAÚCHA;NORDESTE
VITÓRIA DAS MISSÕES;NORDESTE
AMARAL FERRADOR;SUDESTE
ARROIO DO PADRE;SUDESTE
CAÇAPAVA DO SUL;SUDESTE
CAPÃO DO LEÃO;SUDESTE
RIO GRANDE;SUDESTE
SÃO LOURENÇO DO SUL;SUDESTE
CHUÍ;SUDESTE
HERVAL;SUDESTE
JAGUARÃO;SUDESTE
PELOTAS;SUDESTE
PINHEIRO MACHADO;SUDESTE
SANTA VITÓRIA DO PALMAR;SUDESTE
SÃO JOSÉ DO NORTE;SUDESTE
ENCRUZILHADA DO SUL;SUDESTE
ARROIO GRANDE;SUDESTE
PEDRAS ALTAS;SUDESTE
SANTANA DA BOA VISTA;SUDESTE
CANDIOTA;SUDESTE
CANGUÇU;SUDESTE
CERRITO;SUDESTE
CRISTAL;SUDESTE
MORRO REDONDO;SUDESTE
PEDRO OSÓRIO;SUDESTE
PIRATINI;SUDESTE
TURUÇU;SUDESTE
ACEGUÁ;SUDOESTE
BAGÉ;SUDOESTE
BARRA DO QUARAÍ;SUDOESTE
ALEGRETE;SUDOESTE
DOM PEDRITO;SUDOESTE
ROSÁRIO DO SUL;SUDOESTE
SÃO BORJA;SUDOESTE
SÃO GABRIEL;SUDOESTE
SÃO FRANCISCO DE ASSIS;SUDOESTE
HULHA NEGRA;SUDOESTE
ITAQUI;SUDOESTE
QUARAÍ;SUDOESTE
LAVRAS DO SUL;SUDOESTE
SANTANA DO LIVRAMENTO;SUDOESTE
GARRUCHOS;SUDOESTE
MAÇAMBARÁ;SUDOESTE
MANOEL VIANA;SUDOESTE
SANTA MARGARIDA DO SUL;SUDOESTE
URUGUAIANA;SUDOESTE
